"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","211","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","63","Get file","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Files","",""
"","57","Delete file","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Files","",""
"","18","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","10","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Users","",""
"","13","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","540","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","22","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","53","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","231","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","124","Get courses","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Courses","",""
"","246","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","16","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
"","214","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
"","435","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
"","222","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
"","12","Get file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","11","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
